,Index,Date,Year,Month,Amount,Label,Account,Description,Category
0,0,1/05/2022,2022,01-Jan,-45.54,Gas & Fuel,Citi,769 - 28 HARVARD STREE AYER MA,Gas
1,1,1/01/2020,2020,01-Jan,-40.99,Alcohol & Bars,Citi,Ayer Package Store Inc,Alcohol
2,2,2/01/2022,2022,02-Feb,-48.54,Music,Citi,Spotify,Entertainment
3,3,1/01/2020,2020,01-Jan,58.53,Check,Checking,CHECK NUMBER 995012 995012,
4,4,9/01/2022,2022,09-Sep,41.2,Buy,Checking,FID BKG SVC LLC MONEYLINE 220104 PPD,
5,5,4/01/2020,2020,04-Apr,22.0,Food & Dining,Checking,Venmo,Take-Out
6,6,5/01/2020,2020,05-May,68.29,Retirement Savings,Checking,FID BKG SVC LLC MONEYLINE 220104 PPD,Retirement Savings
7,7,12/01/2021,2021,12-Dec,-53.89,Safety Net,Checking,Axos Bank Transfer 220103 WEB,Safety Net
8,8,5/01/2021,2021,05-May,52.48,Credit Card Payment,Checking,CITI AUTOPAY PAYMENT 220103 WEB,Ignore
9,9,9/01/2022,2022,09-Sep,19.12,Tuition,Citi,Udemy,Education
10,10,8/01/2020,2020,08-Aug,40.18,Alcohol & Bars,Citi,LORD HOBO WOBURN Woburn MA,Alcohol
11,11,1/01/2021,2021,01-Jan,4.2,Alcohol & Bars,Checking,Venmo,Alcohol
12,12,7/01/2022,2022,07-Jul,49.23,Shopping,Citi,Home Depot,Personal Expenses
13,13,7/01/2021,2021,07-Jul,-44.87,Shopping,Citi,Target,Personal Expenses
14,14,6/01/2021,2021,06-Jun,69.67,Restaurants,Citi,Osawa,Take-Out
15,15,3/01/2022,2022,03-Mar,-35.68,Groceries,Citi,Wegman's,Groceries
16,16,5/01/2020,2020,05-May,27.57,Income,Citi,Autopay Rautopay Auto,Income
17,17,11/01/2021,2021,11-Nov,-91.03,Income,Citi,Home Depot Reading,Income
18,18,8/01/2020,2020,08-Aug,64.14,Shopping,Citi,Home Depot,Personal Expenses
19,19,6/01/2022,2022,06-Jun,52.95,Shopping,Citi,Home Depot,Personal Expenses
20,20,5/01/2022,2022,05-May,43.85,Home Improvement,Citi,Home Depot,Household
21,21,8/01/2021,2021,08-Aug,-5.03,Interest Income,Savings **3175,Interest Paid,Income
22,22,1/01/2021,2021,01-Jan,-71.33,Restaurants,Citi,Osawa,Take-Out
23,23,11/01/2021,2021,11-Nov,71.18,Interest Income,STATEMENT SAVINGS,INTEREST PAID 12/01 THROUGH 12/31,Income
24,24,12/01/2020,2020,12-Dec,18.69,Shopping,Citi,Home Depot,Personal Expenses
25,25,8/01/2021,2021,08-Aug,91.97,Take-Out & Delivery,Citi,Slice,Take-Out
26,26,2/01/2020,2020,02-Feb,-77.98,Gas & Fuel,Citi,Exxon,Gas
27,27,11/01/2022,2022,11-Nov,20.33,Income,Checking,MOBILE DEPOSIT,Income
28,28,11/01/2021,2021,11-Nov,-36.69,Income,Checking,MOBILE DEPOSIT,Income
29,29,4/01/2020,2020,04-Apr,-40.67,Income,Checking,MOBILE DEPOSIT,Income
30,30,10/01/2020,2020,10-Oct,-94.15,Gas & Fuel,Citi,Gulf,Gas
31,31,10/01/2020,2020,10-Oct,-84.34,Restaurants,Citi,THE BANGKO* THE BANGKO MELROSE MA,Take-Out
32,32,10/01/2022,2022,10-Oct,-0.69,Restaurants,Citi,Sorrentos Pizzeria,Take-Out
33,33,6/01/2021,2021,06-Jun,-32.08,Gift,Chase,Amazon,Gifts
34,34,8/01/2020,2020,08-Aug,84.31,Gift,Chase,Amazon,Gifts
35,35,6/01/2022,2022,06-Jun,78.61,Alcohol & Bars,Citi,Wine & Spirits,Alcohol
36,36,5/01/2022,2022,05-May,-14.21,Take-Out & Delivery,Citi,Slice,Take-Out
37,37,6/01/2021,2021,06-Jun,-77.51,Groceries,Chase,Whole Foods,Groceries
38,38,5/01/2022,2022,05-May,41.66,Credit Card Payment,Checking,CHASE CREDIT CRD AUTOPAY 211222 PPD,Ignore
39,39,2/01/2021,2021,02-Feb,-62.33,Credit Card Payment,Chase,AUTOMATIC PAYMENT - THANK,Ignore
40,40,7/01/2022,2022,07-Jul,44.57,Internet,Citi,Comcast,Utilities
41,41,5/01/2021,2021,05-May,-27.52,Paycheck,Checking,WORCESTER POLYTE DIRECT DEP 211222 PPD,Income
42,42,8/01/2022,2022,08-Aug,-33.14,Personal Care,Checking,Venmo,Medical/Healthcare
43,43,11/01/2021,2021,11-Nov,3.97,Gift,Checking,Venmo,Gifts
44,44,10/01/2020,2020,10-Oct,-86.27,Parking,Citi,Laz Parking,Car
45,45,4/01/2021,2021,04-Apr,60.83,Groceries,Citi,Market Basket,Groceries
46,46,5/01/2021,2021,05-May,66.74,Take-Out & Delivery,Citi,Slice,Take-Out
47,47,11/01/2022,2022,11-Nov,93.49,Paycheck,Checking,WORCESTER POLYTE DIRECT DEP 211217 PPD,Income
48,48,6/01/2020,2020,06-Jun,19.19,Gym,Checking,PLANET FIT CLUB FEES PPD,Medical/Healthcare
49,49,7/01/2021,2021,07-Jul,55.76,Internet,Checking,Venmo Cashout Ppd,Utilities
50,50,5/01/2020,2020,05-May,-95.51,Take-Out & Delivery,Checking,Venmo Cashout Ppd,Take-Out
51,51,5/01/2021,2021,05-May,55.97,Restaurants,Citi,TST* The Farmer and Fo Northborough MA,Take-Out
52,52,11/01/2020,2020,11-Nov,-83.9,Take-Out & Delivery,Citi,Slice,Take-Out
53,53,12/01/2022,2022,12-Dec,78.21,Groceries,Citi,ANDREAS CONVENIENT STO STONEHAM MA,Groceries
54,54,5/01/2022,2022,05-May,-34.74,Take-Out & Delivery,Citi,Slice,Take-Out
55,55,7/01/2022,2022,07-Jul,-31.95,Mortgage & Rent,Checking,CHECK NUMBER 995011,Mortgage/Rent
56,56,3/01/2020,2020,03-Mar,-66.91,Groceries,Chase,Whole Foods,Groceries
57,57,10/01/2021,2021,10-Oct,57.57,Transfer,Savings **3175,EXTERNAL TRANSFERThe Savings Bank,Ignore
58,58,11/01/2020,2020,11-Nov,-18.5,Take-Out & Delivery,Citi,Slice,Take-Out
59,59,4/01/2021,2021,04-Apr,91.13,Fast Food,Citi,TENOCH MELROSE gosq.com MA,Take-Out
60,60,9/01/2020,2020,09-Sep,26.87,Music,Citi,Spotify,Entertainment
61,61,11/01/2021,2021,11-Nov,95.74,Gas & Fuel,Citi,Exxon,Gas
